Land.Unit.Code,GRTS.Cell.ID,Location.Name,Orig.Name,Survey.Start.Time,Survey.End.Time,Deployment.ID,Detector.Failure.Details,Contact
LAR,238,238_NE_01,Fort Chip - Unit 2,2015-06-09,2015-06-16,2015,,joburgar@gmail.com; Brett.Sarchuk@gov.ab.ca
LAR,238,238_NW_01,Fort Chip - Unit 1,2015-06-09,2015-06-16,2015,,joburgar@gmail.com; Brett.Sarchuk@gov.ab.ca
LAR,238,238_SW_01,Fort Chip - Unit 3,2015-06-09,2015-06-16,2015,,joburgar@gmail.com; Brett.Sarchuk@gov.ab.ca
LAR,238,238_NE_01,Fort Chip - Unit 2,2017-06-15,2017-06-21,2017,Detector malfunction for entire survey,Brett.Sarchuk@gov.ab.ca
LAR,238,238_NW_01,Fort Chip - Unit 1,2017-06-15,2017-06-21,2017,Detector malfunction for entire survey,Brett.Sarchuk@gov.ab.ca
LAR,238,238_SW_01,Fort Chip - Unit 3,2017-06-15,2017-06-21,2017,Detector malfunction for entire survey,Brett.Sarchuk@gov.ab.ca
LPR,922,922_NW_01,Whitemud4,2020-07-09,2020-07-14,2020,,Rolanda.Steenweg@gov.ab.ca; Natalka.Melnycky@gov.ab.ca
LPR,922,922_NE_01,Whitemud3,2020-07-09,2020-07-14,2020,,Rolanda.Steenweg@gov.ab.ca; Natalka.Melnycky@gov.ab.ca
LPR,922,922_SE_01,Whitemud1,2020-07-09,2020-07-14,2020,,Rolanda.Steenweg@gov.ab.ca; Natalka.Melnycky@gov.ab.ca
LPR,922,922_SW_01,Whitemud2,2020-07-09,2020-07-14,2020,,Rolanda.Steenweg@gov.ab.ca; Natalka.Melnycky@gov.ab.ca
LPR,922,922_NE_01,Whitemud3,2019-07-10,2019-07-17,2019,,Rolanda.Steenweg@gov.ab.ca; Natalka.Melnycky@gov.ab.ca
LPR,922,922_NW_01,Whitemud4,2019-07-10,2019-07-17,2019,,Rolanda.Steenweg@gov.ab.ca; Natalka.Melnycky@gov.ab.ca
LPR,922,922_SE_01,Whitemud1,2019-07-10,2019-07-17,2019,"Don't recall this monitor having fallen over, but there are only  6 files (2 noise, 4 with data) recorded",Rolanda.Steenweg@gov.ab.ca; Natalka.Melnycky@gov.ab.ca
LPR,922,922_SW_01,Whitemud2,2019-07-10,2019-07-17,2019,,Rolanda.Steenweg@gov.ab.ca; Natalka.Melnycky@gov.ab.ca
LPR,922,922_NE_01,Whitemud3,2018-06-22,2018-06-28,2018,,Rolanda.Steenweg@gov.ab.ca; Natalka.Melnycky@gov.ab.ca
LPR,922,922_NW_01,Whitemud4,2018-06-22,2018-06-28,2018,,Rolanda.Steenweg@gov.ab.ca; Natalka.Melnycky@gov.ab.ca
LPR,922,922_SE_01,Whitemud1,2018-06-21,2018-06-28,2018,,Rolanda.Steenweg@gov.ab.ca; Natalka.Melnycky@gov.ab.ca
LPR,922,922_SW_01,Whitemud2,2018-06-21,2018-06-28,2018,,Rolanda.Steenweg@gov.ab.ca; Natalka.Melnycky@gov.ab.ca
LAR,2131,2131_NE_01,Oil Sands - Unit 2,2016-06-17,2016-06-24,2016,,joburgar@gmail.com; Brett.Sarchuk@gov.ab.ca
LAR,2131,2131_NW_01,Oil Sands - Unit 1,2016-06-17,2016-06-24,2016,,joburgar@gmail.com; Brett.Sarchuk@gov.ab.ca
LAR,2131,2131_SE_01,Oil Sands - Unit 4,2016-06-17,2016-06-24,2016,,joburgar@gmail.com; Brett.Sarchuk@gov.ab.ca
LAR,2131,2131_SW_01,Oil Sands - Unit 3,2016-06-17,2016-06-24,2016,,joburgar@gmail.com; Brett.Sarchuk@gov.ab.ca
LAR,2131,2131_NE_01,Oil Sands - Unit 2,2017-07-05,2017-07-10,2017,Detector malfunction for entire survey,Brett.Sarchuk@gov.ab.ca
LAR,2131,2131_NW_01,Oil Sands - Unit 1,2017-07-05,2017-07-10,2017,Detector malfunction for entire survey,Brett.Sarchuk@gov.ab.ca
LAR,2131,2131_SE_01,Oil Sands - Unit 4,2017-07-05,2017-07-10,2017,,Brett.Sarchuk@gov.ab.ca
LAR,2131,2131_SW_01,Oil Sands - Unit 3,2017-07-05,2017-07-10,2017,Detector malfunction for entire survey,Brett.Sarchuk@gov.ab.ca
LPR,3667,3667_NE_01,Wabasca - Unit 2,2015-06-29,2015-07-06,2015,,joburgar@gmail.com; Brett.Sarchuk@gov.ab.ca
LPR,3667,3667_NW_01,Wabasca - Unit 1,2015-06-29,2015-07-06,2015,,joburgar@gmail.com; Brett.Sarchuk@gov.ab.ca
LPR,3667,3667_SE_01,Wabasca - Unit 4,2015-06-29,2015-07-06,2015,,joburgar@gmail.com; Brett.Sarchuk@gov.ab.ca
LPR,3667,3667_SW_01,Wabasca - Unit 3,2015-06-29,2015-07-06,2015,,joburgar@gmail.com; Brett.Sarchuk@gov.ab.ca
LPR,3667,3667_NE_01,Wabasca - Unit 2,2016-07-03,2016-07-10,2016,,joburgar@gmail.com; Brett.Sarchuk@gov.ab.ca
LPR,3667,3667_SE_01,Wabasca - Unit 4,2016-07-03,2016-07-10,2016,,joburgar@gmail.com; Brett.Sarchuk@gov.ab.ca
LPR,3667,3667_SW_01,Wabasca - Unit 3,2016-07-03,2016-07-10,2016,,joburgar@gmail.com; Brett.Sarchuk@gov.ab.ca
LPR,3667,3667_NE_01,Wabasca - Unit 2,2017-06-26,2017-07-02,2017,Detector malfunction for entire survey,Brett.Sarchuk@gov.ab.ca
LPR,3667,3667_NW_01,Wabasca - Unit 1,2017-06-26,2017-07-02,2017,Detector malfunction for entire survey,Brett.Sarchuk@gov.ab.ca
LPR,3667,3667_SE_01,Wabasca - Unit 4,2017-06-26,2017-07-02,2017,,Brett.Sarchuk@gov.ab.ca
LPR,3667,3667_SW_01,Wabasca - Unit 3,2017-06-26,2017-07-02,2017,Detector malfunction for entire survey,Brett.Sarchuk@gov.ab.ca
LPR,3667,3667_NE_01,Wabasca - Unit 2,2020-07-08,2020-07-21,2019,,Brett.Sarchuk@gov.ab.ca
LPR,3667,3667_SE_01,Wabasca - Unit 4,2020-07-08,2020-07-21,2019,,Brett.Sarchuk@gov.ab.ca
SSR,7555,7555_SW_01,Card42_Witt Reesor,2020-06-25,2020-07-12,2020,,sandi.robertson@gov.ab.ca
RDR,11139,11139_NW_01,RD-9b,2019-06-24,2019-06-30,2019,,jason.Unruh@gov.ab.ca
UPR,14234,14234_SE_01,HinesCreek1,2018-06-29,2018-07-04,2018,"Date issues with detector, two nights recording in 2043 (?), overlapping June dates, and then no July dates",rolanda.Steenweg@gov.ab.ca; Natalka.Melnycky@gov.ab.ca
UPR,14234,14234_SW_01,HinesCreek2,2018-06-29,2018-07-04,2018,,rolanda.Steenweg@gov.ab.ca; Natalka.Melnycky@gov.ab.ca
