"Site","Date","Detector","Classification","Count"
"Peace","20190713","Whitemud4","EPFU",1
"Peace","20190713","Whitemud4","EPFU.LANO",2
"Peace","20190715","Whitemud4","EPFU.LANO",2
"Peace","20190710","Whitemud4","LABO.MYLU",2
"Peace","20190715","Whitemud4","LABO.MYLU",2
"Peace","20190710","Whitemud4","LACI",1
"Peace","20190711","Whitemud4","LACI",2
"Peace","20190712","Whitemud4","LACI",8
"Peace","20190715","Whitemud4","LACI",2
"Peace","20190710","Whitemud4","unknown",7
"Peace","20190711","Whitemud4","unknown",3
"Peace","20190712","Whitemud4","unknown",5
"Peace","20190713","Whitemud4","unknown",17
"Peace","20190714","Whitemud4","unknown",4
"Peace","20190715","Whitemud4","unknown",24
