"Site","Date","Detector","Classification","Count"
"Peace","20180622","Whitemud1","EPFU",1
"Peace","20180621","Whitemud1","EPFU.LANO",11
"Peace","20180622","Whitemud1","EPFU.LANO",2
"Peace","20180623","Whitemud1","EPFU.LANO",6
"Peace","20180624","Whitemud1","EPFU.LANO",7
"Peace","20180627","Whitemud1","EPFU.LANO",1
"Peace","20180621","Whitemud1","LABO.MYLU",6
"Peace","20180623","Whitemud1","LABO.MYLU",1
"Peace","20180624","Whitemud1","LABO.MYLU",4
"Peace","20180625","Whitemud1","LABO.MYLU",2
"Peace","20180621","Whitemud1","LACI",8
"Peace","20180622","Whitemud1","LACI",1
"Peace","20180623","Whitemud1","LACI",6
"Peace","20180624","Whitemud1","LACI",5
"Peace","20180625","Whitemud1","LACI",5
"Peace","20180626","Whitemud1","LACI",1
"Peace","20180627","Whitemud1","LACI",2
"Peace","20180621","Whitemud1","My_40k",8
"Peace","20180623","Whitemud1","My_40k",1
"Peace","20180624","Whitemud1","My_40k",6
"Peace","20180625","Whitemud1","My_40k",2
"Peace","20180625","Whitemud1","noise",28
"Peace","20180621","Whitemud1","unknown",74
"Peace","20180622","Whitemud1","unknown",16
"Peace","20180623","Whitemud1","unknown",77
"Peace","20180624","Whitemud1","unknown",99
"Peace","20180625","Whitemud1","unknown",17
"Peace","20180626","Whitemud1","unknown",3
"Peace","20180627","Whitemud1","unknown",7
