"Site","Date","Detector","Classification","Count"
"Peace","20180621","Whitemud2","EPFU",1
"Peace","20180623","Whitemud2","EPFU",4
"Peace","20180624","Whitemud2","EPFU",90
"Peace","20180621","Whitemud2","EPFU.LANO",2
"Peace","20180622","Whitemud2","EPFU.LANO",2
"Peace","20180623","Whitemud2","EPFU.LANO",32
"Peace","20180624","Whitemud2","EPFU.LANO",20
"Peace","20180621","Whitemud2","LABO.MYLU",7
"Peace","20180623","Whitemud2","LABO.MYLU",3
"Peace","20180624","Whitemud2","LABO.MYLU",5
"Peace","20180621","Whitemud2","LACI",31
"Peace","20180622","Whitemud2","LACI",1
"Peace","20180623","Whitemud2","LACI",8
"Peace","20180624","Whitemud2","LACI",29
"Peace","20180621","Whitemud2","My_40k",7
"Peace","20180622","Whitemud2","My_40k",2
"Peace","20180623","Whitemud2","My_40k",2
"Peace","20180624","Whitemud2","My_40k",13
"Peace","20180624","Whitemud2","noise",1
"Peace","20180621","Whitemud2","unknown",236
"Peace","20180622","Whitemud2","unknown",13
"Peace","20180623","Whitemud2","unknown",114
"Peace","20180624","Whitemud2","unknown",377
