Land.Unit.Code,GRTS.Cell.ID,Location.Name,Cardinal_Direction,Stn_Num,GRTS_Qdrnt,Orig.Name,NABat.Sample,Longitude,Latitude
LAR,238,238_NE_01,NE,1,238_NE,Fort Chip - Unit 2,Yes,-110.7395,58.9602
LAR,238,238_NW_01,NW,1,238_NW,Fort Chip - Unit 1,Yes,-110.817,58.9838
LAR,238,238_SW_01,SW,1,238_SW,Fort Chip - Unit 3,Yes,-110.8116,58.9284
LPR,922,922_NE_01,NE,1,922_NE,Whitemud3,Yes,-117.76832,56.4116
LPR,922,922_NW_01,NW,1,922_NW,Whitemud4,Yes,-117.82136,56.39304
LPR,922,922_SE_01,SE,1,922_SE,Whitemud1,Yes,-117.77518,56.35283
LPR,922,922_SW_01,SW,1,922_SW,Whitemud2,Yes,-117.85491,56.33466
LAR,2131,2131_NE_01,NE,1,2131_NE,Oil Sands - Unit 2,Yes,-111.4581,57.0119
LAR,2131,2131_NW_01,NW,1,2131_NW,Oil Sands - Unit 1,Yes,-111.5707,56.9897
LAR,2131,2131_SE_01,SE,1,2131_SE,Oil Sands - Unit 4,Yes,-111.4289,56.9554
LAR,2131,2131_SW_01,SW,1,2131_SW,Oil Sands - Unit 3,Yes,-111.5259,56.9366
LPR,3667,3667_NE_01,NE,1,3667_NE,Wabasca - Unit 2,Yes,-114.0579,55.9164
LPR,3667,3667_NW_01,NW,1,3667_NW,Wabasca - Unit 1,Yes,-114.1657,55.9062
LPR,3667,3667_SE_01,SE,1,3667_SE,Wabasca - Unit 4,Yes,-114.0572,55.8628
LPR,3667,3667_SW_01,SW,1,3667_SW,Wabasca - Unit 3,Yes,-114.1223,55.8528
SSR,7555,7555_SW_01,SW,1,7555_SW,Card42_Witt Reesor,Yes,-110.05,49.6807
RDR,11139,11139_NW_01,NW,1,11139_NW,RD-9b,No,-113.53921,52.12495
UPR,14234,14234_SE_01,SE,1,14234_SE,HinesCreek1,Yes,-118.50059,56.2368
UPR,14234,14234_SW_01,SW,1,14234_SW,HinesCreek2,Yes,-118.63021,56.21855
RDR,15235,15235_SE_01,SE,1,15235_SE,RD-1b,No,-113.99671,52.28344
JNP,23146,23146_NE_01,NE,1,23146_NE,Tekarra Marsh,Yes,-118.0319,52.8423
JNP,23146,23146_NE_02,NE,2,23146_NE,Valley of Five,Yes,-118.0211,52.8158
JNP,23146,23146_SE_01,SE,1,23146_SE,Buffalo Prairie,Yes,-118.0074,52.7957
JNP,23146,23146_SE_02,SE,2,23146_SE,Wabasso Lake,Yes,-117.9596,52.7792
JNP,267463,267463_NW_01,NW,1,267463_NW,Pocahontas,Yes,-117.92983,53.20698
JNP,267463,267463_NE_01,NE,1,267463_NE,Brule Tunnel Road,Yes,-117.87299,53.22557
UAR,24218,24218_SW_01,SW,1,24218_SW,Edson - Unit 2_gc,Yes,-116.40918,53.5799
WLNP,25027,25027_SE_01,SE,1,25027_SE,Cameron Lake,No,-114.046042,49.01979655
RDR,30595,30595_NE_01,NE,1,30595_NE,RD-10a,No,-114.32931,51.99588
SSR,32195,32195_NW_01,NW,1,32195_NW,Card504BAT_Peigan Creek,Yes,-110.8399,49.5638
SSR,39815,39815_SW_01,SW,1,39815_SW,Playground,Yes,-110.468,49.1275
SSR,39815,39815_SW_02,SW,2,39815_SW,Reservoir,Yes,-110.473,49.1206
